time,x,y,z,target_x,target_y,battery,action,event
0.0,0.0,0.0,0.0,20.0,15.0,100.0,START,MISSION_START
1.0,0.0,0.0,10.0,20.0,15.0,100.0,TAKEOFF,TAKEOFF_TO_A
3.0,8.14,5.95,10.0,20.0,15.0,90.0,FLY,
5.0,16.02,11.88,10.0,20.0,15.0,80.0,FLY,
6.0,20.0,15.0,10.0,20.0,15.0,75.0,FLY,
6.0,20.0,15.0,0.0,20.0,15.0,75.0,LAND,WAYPOINT_A_REACHED
11.0,20.0,15.0,0.0,20.0,15.0,75.0,SERVICE,DELIVERY_A_DONE
12.0,20.0,15.0,10.0,5.0,35.0,75.0,TAKEOFF,TAKEOFF_TO_D
14.0,14.06,23.11,10.0,5.0,35.0,65.0,FLY,
16.0,8.15,31.02,10.0,5.0,35.0,55.0,FLY,
17.0,5.0,35.0,10.0,5.0,35.0,50.0,FLY,
17.0,5.0,35.0,0.0,5.0,35.0,50.0,LAND,WAYPOINT_D_REACHED
22.0,5.0,35.0,0.0,5.0,35.0,50.0,SERVICE,DELIVERY_D_DONE
23.0,5.0,35.0,10.0,0.0,0.0,50.0,TAKEOFF,TAKEOFF_TO_BASE
25.0,3.45,25.15,10.0,0.0,0.0,40.0,FLY,
27.0,2.15,15.32,10.0,0.0,0.0,30.0,FLY,
29.0,0.87,5.38,10.0,0.0,0.0,20.0,FLY,
30.1,0.0,0.0,10.0,0.0,0.0,14.64,FLY,
30.1,0.0,0.0,0.0,0.0,0.0,14.64,LAND,BASE_REACHED_FOR_CHARGE
30.1,0.0,0.0,0.0,0.0,0.0,14.64,CHARGE,CHARGE_START
60.1,0.0,0.0,0.0,0.0,0.0,100.0,CHARGE,CHARGE_COMPLETE
61.1,0.0,0.0,10.0,-18.0,22.0,100.0,TAKEOFF,TAKEOFF_TO_B
63.1,-6.44,7.83,10.0,-18.0,22.0,90.0,FLY,
65.1,-12.63,15.6,10.0,-18.0,22.0,80.0,FLY,
66.8,-18.0,22.0,10.0,-18.0,22.0,71.57,FLY,
66.8,-18.0,22.0,0.0,-18.0,22.0,71.57,LAND,WAYPOINT_B_REACHED
71.8,-18.0,22.0,0.0,-18.0,22.0,71.57,SERVICE,DELIVERY_B_DONE
72.8,-18.0,22.0,10.0,0.0,0.0,71.57,TAKEOFF,TAKEOFF_TO_BASE
74.8,-11.82,14.25,10.0,0.0,0.0,61.57,FLY,
76.8,-5.43,6.62,10.0,0.0,0.0,51.57,FLY,
78.4,0.0,0.0,10.0,0.0,0.0,43.15,FLY,
78.4,0.0,0.0,0.0,0.0,0.0,43.15,LAND,BASE_REACHED_FOR_CHARGE
78.4,0.0,0.0,0.0,0.0,0.0,43.15,CHARGE,CHARGE_START
108.4,0.0,0.0,0.0,0.0,0.0,100.0,CHARGE,CHARGE_COMPLETE
109.4,0.0,0.0,10.0,30.0,-10.0,100.0,TAKEOFF,TAKEOFF_TO_C
111.4,9.42,-3.27,10.0,30.0,-10.0,90.0,FLY,
113.4,18.82,-6.33,10.0,30.0,-10.0,80.0,FLY,
115.4,28.37,-9.39,10.0,30.0,-10.0,70.0,FLY,
115.8,30.0,-10.0,10.0,30.0,-10.0,68.38,FLY,
115.8,30.0,-10.0,0.0,30.0,-10.0,68.38,LAND,WAYPOINT_C_REACHED
120.8,30.0,-10.0,0.0,30.0,-10.0,68.38,SERVICE,DELIVERY_C_DONE
121.8,30.0,-10.0,10.0,0.0,0.0,68.38,TAKEOFF,TAKEOFF_TO_BASE
123.8,20.48,-6.95,10.0,0.0,0.0,58.38,FLY,
125.8,10.88,-3.71,10.0,0.0,0.0,48.38,FLY,
127.8,1.42,-0.44,10.0,0.0,0.0,38.38,FLY,
128.1,0.0,0.0,10.0,0.0,0.0,36.75,FLY,
128.1,0.0,0.0,0.0,0.0,0.0,36.75,LAND,BASE_REACHED_FOR_CHARGE
128.1,0.0,0.0,0.0,0.0,0.0,36.75,CHARGE,CHARGE_START
158.1,0.0,0.0,0.0,0.0,0.0,100.0,CHARGE,CHARGE_COMPLETE
159.1,0.0,0.0,10.0,-25.0,-15.0,100.0,TAKEOFF,TAKEOFF_TO_E
161.1,-8.56,-5.26,10.0,-25.0,-15.0,90.0,FLY,
163.1,-17.26,-10.37,10.0,-25.0,-15.0,80.0,FLY,
164.9,-25.0,-15.0,10.0,-25.0,-15.0,70.85,FLY,
164.9,-25.0,-15.0,0.0,-25.0,-15.0,70.85,LAND,WAYPOINT_E_REACHED
169.9,-25.0,-15.0,0.0,-25.0,-15.0,70.85,SERVICE,DELIVERY_E_DONE
170.9,-25.0,-15.0,10.0,0.0,0.0,70.85,TAKEOFF,TAKEOFF_TO_BASE
172.9,-16.31,-9.93,10.0,0.0,0.0,60.85,FLY,
174.9,-7.87,-4.83,10.0,0.0,0.0,50.85,FLY,
176.8,0.0,0.0,10.0,0.0,0.0,41.69,FLY,
176.8,0.0,0.0,0.0,0.0,0.0,41.69,LAND,BASE_REACHED_MISSION_COMPLETE
176.8,0.0,0.0,0.0,0.0,0.0,41.69,END,MISSION_END
